N,beta1,beta2,beta3,cor_xm,rel,method,par,bias,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0.3,0.7,tspa,yint,0.006362738698533887,0.1744231184938971,-0.08254538217707652,0.03641168122081795,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,tspa,ym,-0.017784916252990418,0.13559780885102707,-0.004418487261950266,-0.1319710677687294,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,tspa,yx,-0.0033650341006778023,0.1428083171513474,-0.059175761739879595,-0.023510837967655417,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,upi,yint,-0.07459590004951423,0.18703689292961712,-0.32633106930718603,-0.43382849488258235,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,upi,ym,-0.006745640358354124,0.13920626962640734,-0.07163067308324422,-0.04839343227534662,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,upi,yx,0.003468441140444398,0.1569547224570154,-0.16286018698355076,0.022048423848488957,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.8,rapi,yint,0.014149241564422762,0.12796161398019823,0.024231094952306576,0.11097785754667921,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,rapi,ym,-0.014500939557121761,0.13438587186267717,-0.14235022612789294,-0.10826729017562098,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,rapi,yx,-0.002306970714308422,0.12143564509552836,-0.05514719320283057,-0.018953342952221706,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,tspa,yint,-0.0038909434258010333,0.11808244336789102,0.047402503944423025,-0.032886452363368346,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,tspa,ym,-0.023413660044089048,0.13103641781284206,-0.13042414078754272,-0.1811484926959321,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,tspa,yx,-0.001919229046279134,0.11705582429087084,-0.04090083688842261,-0.016357001848711382,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,upi,yint,-0.039973847089527906,0.12256518353645979,-0.09063876829787332,-0.3441449552614003,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,upi,ym,-0.01730221472956557,0.1319744851568467,-0.15350312523681908,-0.13191312825887605,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.8,upi,yx,-0.0019033209084775426,0.11751023096574834,-0.051390148797712976,-0.016158641806538608,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.9,rapi,yint,0.010346289485674709,0.11030407015325712,-0.09885665304420987,0.093977427597386,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,rapi,ym,0.008927363438603968,0.10532888591816254,-0.045172681031966144,0.08485019167651761,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,rapi,yx,0.001950485609551591,0.12465455289620392,-0.19614505840062513,0.01560987109612012,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,tspa,yint,0.006240293573634404,0.10849843080353129,-0.09734997786852728,0.05746621781379967,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,tspa,ym,0.007759597594815631,0.10418079095754813,-0.040909927796880186,0.07450254080047468,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,tspa,yx,4.937509549988414e-4,0.12301921511262363,-0.18977124459454564,0.004003594051078341,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,upi,yint,0.0070247857225196495,0.11203820305901765,-0.12621762009010506,0.06266626862010877,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,upi,ym,0.009185084296077888,0.10510297181879158,-0.032006173959464146,0.08750733566281188,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,upi,yx,0.0019044508112861832,0.12425317853459363,-0.18451299304604218,0.015290610017565827,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.6,0.7,rapi,yint,0.032603311323665486,0.20386148916211552,-0.1617516968528634,0.16160855271106947,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,rapi,ym,0.005736945068227459,0.21659806992085578,-0.07195456228074737,0.026429566530936605,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,rapi,yx,0.014840063594935301,0.21323435712193883,-0.05664340407804036,0.06958961343949897,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,tspa,yint,0.06420654381739743,0.5761882569273813,0.11769370082680441,0.11185095846712471,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,tspa,ym,0.01955146889847106,0.39011846230488867,0.27146356090178725,0.050054199517538464,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,tspa,yx,-0.008108124688729994,0.38415233334676996,0.24991171812296886,-0.02105839372053123,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,upi,yint,-0.005740723715056663,0.175463316649503,-0.3153139806531765,-0.032653100034054035,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,upi,ym,-0.0012223597575129505,0.19134879511424008,-0.07123087905778891,-0.006372263318260181,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,upi,yx,0.010723075002862452,0.18441276954911734,-0.04597916549542813,0.05809989294523985,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.8,rapi,yint,0.02497849892631086,0.12057458522923283,-0.0698131744168502,0.2112258731224941,200,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
