N,beta1,beta2,beta3,cor_xm,rel,method,par,coverage,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.8,0,0.9,tspa,yint,0.935,0.11900501148244928,-0.055286569088273674,-0.04017997442325009,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.8,0,0.9,upi,yint,0.94,0.13174975044218565,-0.07567473175839123,0.0019923700880352144,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.8,0.3,0.7,rapi,yint,0.969,0.43047784396731664,-0.13834925791953778,0.1987337265411241,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.8,0.3,0.7,tspa,yint,0.9555,0.24429748480555383,-0.10770554695768386,0.08272110807358929,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.8,0.3,0.7,upi,yint,0.889,0.40546441896804936,1.4954277989290734,0.06707481935898033,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.8,0.3,0.8,rapi,yint,0.9535,0.16363837665765363,-0.1295689000852096,0.16931583302946726,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.8,0.3,0.8,tspa,yint,0.9475,0.13751172531209493,-0.07239202378084819,0.030558591525989456,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.8,0.3,0.8,upi,yint,0.9325,0.19812995690284896,-0.15300489471497014,0.09070761389245474,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.8,0.3,0.9,rapi,yint,0.948,0.11261254791220981,-0.03347496126789273,0.07502490920274901,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.8,0.3,0.9,tspa,yint,0.9475,0.10824166329757144,-0.027445693606514943,-1.9314875345192097e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.9
