N,beta1,beta2,beta3,cor_xm,rel,method,par,convergence_rate,coverage,outlier_se,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0.6,0.9,rapi,yint,1,0.962,2.25,0.004855985602334821,0.04754532672881395,0.09003032959789736,0.05400234264849845,0.026014032719046714,0.03918332836567817,0.0036845341833326994,0.02936261738240309,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,tspa,yint,1,0.949,1.55,6.766791188240102e-5,-0.012831546159856821,0.08802129464879631,7.685755253907207e-4,-0.019323840268314782,-0.01612992254888579,-8.818824059186325e-4,-0.02318500595590034,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,upi,yint,1,0.9465,3,0.001727467160845991,-0.015366165306532564,0.09604444228983675,0.01798453523349468,-0.02333913035102051,-0.046934074344510135,-0.0014781451184504024,-0.040467448935088246,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
250,1,0.9,0.75,0,0.7,rapi,yint,1,0.9785,6.6000000000000005,0.027361026335047008,0.07522346639668331,0.12395548350323347,0.2262583014085583,0.12029110127813775,0.13383968633979793,0.01571447165918588,-0.027438105759660103,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.75,0,0.7,tspa,yint,1,0.9535,4.2,0.012912680684935148,-0.07835093361348577,0.11025621433119359,0.11789726610950178,0.008682259409345356,-0.01932430078904246,0.004691173062431775,-0.12570801517030106,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.75,0,0.7,upi,yint,1,0.921,3.95,0.013390983272160532,-0.04059008746815995,0.14724402351479426,0.09129976271579329,-0.03911228547621917,-0.019201338770712173,-0.0011902112784504815,-0.13065466636418266,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.75,0,0.8,rapi,yint,1,0.96,2.7,0.007250423622668784,0.03973488870784836,0.08793668484822567,0.08271150401676995,0.03885047108653725,0.04482640353316403,0.004409443471251662,0.013376756741965812,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.75,0,0.8,tspa,yint,1,0.9445,2.1999999999999997,-3.150325554689624e-4,-0.043484019333240864,0.08329492384717738,-0.003781215296131363,-0.04122125485232199,-0.034100031427606536,-0.002776534373388706,-0.0573258074315941,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.75,0,0.8,upi,yint,1,0.948,4.1000000000000005,0.008788305322829372,-0.055791357468274905,0.10575014499293428,0.08337204631443977,-0.020221720154792244,-0.08113334940181816,1.8358817799329907e-4,-0.10407996592657454,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.75,0,0.9,rapi,yint,1,0.9545,1.5,0.00388919506085765,0.028471799295976874,0.06860742283914997,0.05676477796644421,0.033601965208180616,0.061854201251957175,0.0023819358831013715,0.021911610962577877,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
