N,beta1,beta2,beta3,cor_xm,rel,method,par,convergence_rate,coverage,raw_bias,raw_rse_bias,rmse,robust_rse_bias,std_bias,stdMed_bias,trimm_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.8,0.3,0.9,tspa,yint,1,0.935,-0.0012093506903717015,-0.05027185737688644,0.11122546841935531,0.4544694876642692,-0.010870889609172785,0.004604834955053852,-5.799366254878868e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.8,0.3,0.9,upi,yint,1,0.9485,0.004178171479439779,-0.0017588047334302637,0.11319875640270713,0.5135317404812108,0.03692598052401819,0.04708443056735037,0.004336378872850599,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.8,0.6,0.7,rapi,yint,1,0.899,0.05996811755122041,1.2803325002818973,0.38381031914702957,0.36580080575562945,0.15814737794483907,0.044447768194011715,0.012114776464715149,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.8,0.6,0.7,tspa,yint,1,0.9535,0.027548791766901264,-0.05410867909463135,0.1652240769397655,0.39159718555187184,0.16906083438761846,0.05691604944217295,0.013565308034657053,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.8,0.6,0.7,upi,yint,1,0.9705,0.048553880099053884,-0.34534326451802644,0.38439238952679877,0.6720185708982946,0.12730137451546336,0.1683262442527879,0.03465406331719284,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.8,0.6,0.8,rapi,yint,1,0.9385,0.01621185646988341,-0.0716516540877824,0.14855478886859494,0.4389177503053303,0.10975874255072926,-0.005892517565145995,0.0010780053402836276,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.8,0.6,0.8,tspa,yint,1,0.9495,0.004652369443395549,-0.018204220207463262,0.11155335204419424,0.45249980012223245,0.04173121117964578,-0.011443853408712864,3.730685207654627e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.8,0.6,0.8,upi,yint,1,0.9685,0.01552850738523168,0.1110655034530601,0.11814623161911122,0.6330040344924441,0.1325516841992073,0.08456894960746165,0.010063368467455758,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.8,0.6,0.9,rapi,yint,1,0.9455,-0.0012855115722639546,-0.009754306609938368,0.10148878219210576,0.4672659098458858,-0.012664387507260856,-0.0440881276584677,-0.0036262355882732966,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.8,0.6,0.9,tspa,yint,1,0.951,-0.002935752318871974,0.003966252773591528,0.09294985991554161,0.5252053154102714,-0.0315921220766373,-0.030191314424112107,-0.0025963166292336526,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.9
