true_rel,no_adj_rel,adj_rel,quadratic,no_adj_rel_bc,adj_rel_bc,quadratic_bc
0.8571454,0.8644526,0.8571623,0.8535712,0.8577827,0.8508686,0.8473492
0.8601806,0.8710496,0.8629104,0.8591656,0.8652334,0.8575153,0.8538699
0.7845509,0.8871355,0.8742745,0.869216,0.875953,0.8634925,0.8582675
0.8733938,0.925373,0.9162523,0.9139627,0.913154,0.9047864,0.9022074
0.890356,0.8910822,0.8842079,0.8815808,0.8849058,0.878491,0.8758763
0.8708613,0.8870562,0.8803294,0.8776528,0.8829052,0.8765242,0.873927
0.8554188,0.9252683,0.9166558,0.9144861,0.9138196,0.9060116,0.9036532
0.8470775,0.9759852,0.9665179,0.9656392,0.9664323,0.9575895,0.9563996
0.8917478,0.8677707,0.8599945,0.8563068,0.8615771,0.8542928,0.8507416
0.8724932,0.8464948,0.8337008,0.8264109,0.8394373,0.8269704,0.819832
0.8486857,0.8718807,0.8641341,0.860587,0.8661714,0.8589403,0.8555212
0.8804596,0.8915478,0.8821868,0.8786941,0.8849064,0.8759195,0.8724018
0.8432887,0.8544708,0.8463538,0.8420349,0.8465987,0.8389205,0.8346937
0.90421,0.8614045,0.8537412,0.849892,0.8565703,0.8493515,0.8456989
0.8466087,0.8733593,0.8637744,0.8594832,0.8646955,0.8555235,0.8511742
0.8602607,0.8861353,0.8795522,0.8768926,0.8820362,0.8758796,0.8733135
0.839516,0.8136766,0.802627,0.7943878,0.8048116,0.7941546,0.7862441
0.8785921,0.8963896,0.8894655,0.8869635,0.8912489,0.8847678,0.8822966
0.8544626,0.8422578,0.8317831,0.8256003,0.832694,0.8226488,0.8165405
0.8421793,0.8441863,0.8346424,0.8291158,0.8391923,0.8300001,0.8247283
0.8554008,0.9140768,0.9053341,0.9027817,0.9042001,0.8961186,0.8934224
0.895841,0.8560364,0.8485232,0.8445532,0.8519885,0.8450088,0.8413455
0.8446621,1.0114225,0.9983658,0.9983113,0.9939387,0.9819717,0.9812226
0.8766564,0.8866682,0.8779434,0.8745184,0.8815994,0.8732828,0.869943
0.8831265,0.8985219,0.8914399,0.8889428,0.8916163,0.8852168,0.8827685
0.7837812,0.8978627,0.8861644,0.8820796,0.891291,0.8800812,0.8760186
0.8646308,0.8816957,0.8739696,0.8707635,0.8728635,0.8655573,0.8622865
0.9019758,0.8900987,0.8846855,0.8825277,0.8855113,0.8804382,0.8783553
0.8535017,0.8926033,0.8850165,0.8821947,0.8883255,0.8811352,0.8783977
0.8828739,0.8743712,0.8686596,0.866026,0.8709475,0.8657185,0.8632906
0.871487,0.8668863,0.859998,0.8566703,0.8609098,0.8543598,0.8510852
0.840548,0.8671778,0.8593095,0.8555583,0.8608345,0.8533618,0.8496888
0.8803021,0.9024764,0.8957905,0.8935203,0.9000499,0.8938701,0.8917264
0.8499474,0.890317,0.8788573,0.8744955,0.8767664,0.8657274,0.8611148
0.8550324,0.8973305,0.8866379,0.8828468,0.8850833,0.8752247,0.8712949
0.8764298,0.8643005,0.8538019,0.8487423,0.8570616,0.8468848,0.8418641
0.8659986,0.8979375,0.8930157,0.8911794,0.8950132,0.8903792,0.8886111
0.8933278,0.8722592,0.8646357,0.8611477,0.8692396,0.8621889,0.8589957
0.8604307,0.9277548,0.9201208,0.918248,0.9227509,0.9157374,0.9138463
0.9004857,0.9005884,0.8959447,0.8942418,0.8960639,0.8918511,0.8902141
0.8837892,0.8866915,0.8816786,0.8795836,0.8839237,0.8792534,0.8772734
0.8316373,0.8543998,0.8475767,0.8438913,0.8498408,0.8434369,0.8399588
0.8808824,0.8669587,0.8597385,0.8562655,0.8608417,0.8540252,0.8506598
0.8934346,0.9023647,0.8972182,0.8954061,0.9007426,0.8959754,0.8942984
0.8802541,0.854444,0.8454675,0.8406906,0.8469081,0.8382996,0.8336196
0.8834578,0.8874342,0.8800682,0.8771659,0.8802658,0.8732748,0.8703435
0.8851231,0.8600939,0.8513682,0.8469424,0.8560381,0.8480027,0.8439642
0.8890632,0.9115652,0.9075204,0.9061721,0.9086697,0.9049335,0.903647
0.8964499,0.8671497,0.8587435,0.8547585,0.8620673,0.8540591,0.8501942
0.8613181,0.8662185,0.8582737,0.8544524,0.8593161,0.8517663,0.8480022
0.8623979,0.8761611,0.8689011,0.8656979,0.8694206,0.8625911,0.8594418
0.8119627,0.8220655,0.8105567,0.8025387,0.8116743,0.8005106,0.792628
0.8962078,0.9354218,0.9257116,0.9236049,0.9293549,0.9201046,0.9179067
0.8936016,0.8871522,0.8813568,0.8789988,0.8827908,0.8775045,0.8752716
0.8981992,0.8892662,0.8813038,0.8782383,0.8843844,0.8769529,0.874001
0.8552732,0.9377462,0.930618,0.9291087,0.9306847,0.9242407,0.9226271
0.8637539,0.9055654,0.8968283,0.8940324,0.8986232,0.8904638,0.8876381
0.8949335,0.8716962,0.8641527,0.8606816,0.8636993,0.8566509,0.8532118
0.8597577,0.8993427,0.8923802,0.8899378,0.8933874,0.8869516,0.8845305
0.8459823,0.9360221,0.9244395,0.9219093,0.9194679,0.9087958,0.9058319
0.8966072,0.9243361,0.918909,0.9174618,0.9214866,0.916555,0.9151642
0.8714418,0.8912192,0.8857073,0.8835443,0.8858673,0.8806489,0.8785039
0.8838964,0.9171693,0.9093788,0.9071831,0.9098985,0.9027671,0.9004979
0.8826656,0.905384,0.8997358,0.8978402,0.9003509,0.8951143,0.8932313
0.8825482,0.8670349,0.8584857,0.8544161,0.8614765,0.8534183,0.8495008
0.8783438,0.8486653,0.8369458,0.8303882,0.8395655,0.8281815,NaN
0.8763171,0.8734479,0.8655706,0.8620213,0.8642538,0.8568654,0.8532777
0.8504205,0.8465987,0.8375053,0.8323223,0.8392397,0.8306927,0.8257456
0.8800559,0.8736325,0.8622785,0.85727,0.8660974,0.8551067,0.8500904
0.8389938,0.8968019,0.8876128,0.8843353,0.8857378,0.8771039,0.8736441
0.8813249,0.8816372,0.8724832,0.868707,0.8780364,0.8692714,0.8656443
0.8730906,0.9001017,0.8941462,0.8920484,0.8954077,0.8897894,0.8877146
0.7855767,0.9139946,0.898281,0.8934958,0.9010699,0.8857665,0.8809675
0.9015373,0.9054387,0.8996284,0.8976961,0.9015554,0.8962024,0.8943534
0.9028873,0.9034788,0.8985782,0.8968584,0.9005323,0.8960636,0.8944551
0.9114242,0.9034926,0.8954212,0.8927502,0.896739,0.8892422,0.8865292
0.8661771,0.8581214,0.8502042,0.8461187,0.8499835,0.8424539,0.8383793
0.8085966,0.8640275,0.8575656,0.854342,0.8586928,0.8526314,0.8495373
0.8591815,0.8464833,0.8377833,0.8328192,0.8406355,0.8323485,0.827601
0.8713162,0.8664452,0.8593526,0.8559218,0.8610344,0.8543375,0.8510205
